"Community","Level","variable","From","Up to"
"Wanlaweyn","Alert","Water prices (20 litre jerrycan)",0.09,0.2
"Wanlaweyn","Alarm","Water prices (20 litre jerrycan)",0.21,0.48
"Yaqshid","Normal","Water prices (20 litre jerrycan)",0,0.08
"Yaqshid","Alert","Water prices (20 litre jerrycan)",0.09,0.1
"Yaqshid","Alarm","Water prices (20 litre jerrycan)",0.11,0.12
"Adaado","Normal","Labour prices",12.54,11.62
"Adaado","Alert","Labour prices",11.61,9.65
"Adaado","Alarm","Labour prices",9.64,0
"Galkaayo CESVI","Normal","Labour prices",6,5.51
"Galkaayo CESVI","Alert","Labour prices",5.5,5.01
"Galkaayo CESVI","Alarm","Labour prices",5,0
"Afgoye CESVI","Normal","Labour prices",5,4.01
"Afgoye CESVI","Alert","Labour prices",4,2.51
"Afgoye CESVI","Alarm","Labour prices",2.5,0
"Afgoye CWW","Normal","Labour prices",8.8,7.81
"Afgoye CWW","Alert","Labour prices",7.8,6.01
"Afgoye CWW","Alarm","Labour prices",6,0
"Afmadow","Normal","Labour prices",6.8,0.57
"Afmadow","Alert","Labour prices",0.56,4.01
"Afmadow","Alarm","Labour prices",4,0
"Baidoa","Normal","Labour prices",5.2,4.81
"Baidoa","Alert","Labour prices",4.8,4.01
"Baidoa","Alarm","Labour prices",4,0
"Bardera","Normal","Labour prices",4.31,4.15
"Bardera","Alert","Labour prices",4.14,3.8
"Bardera","Alarm","Labour prices",3.79,0
"Beledweyne","Normal","Labour prices",11.36,9.1
"Beledweyne","Alert","Labour prices",9.09,7.28
"Beledweyne","Alarm","Labour prices",7.27,0
"Belet-Hawa","Normal","Labour prices",8.33,6.68
"Belet-Hawa","Alert","Labour prices",6.67,5.34
"Belet-Hawa","Alarm","Labour prices",5.33,0
"Bondhere","Normal","Labour prices",7.29,5.22
"Bondhere","Alert","Labour prices",5.21,4.18
"Bondhere","Alarm","Labour prices",4.17,0
"Borama","Normal","Labour prices",15.2,14.01
"Borama","Alert","Labour prices",14,12.01
"Borama","Alarm","Labour prices",12,0
"Burtinle","Normal","Labour prices",8.04,7.25
"Burtinle","Alert","Labour prices",7.24,5.64
"Burtinle","Alarm","Labour prices",5.63,0
"Daynile","Normal","Labour prices",6,5.21
"Daynile","Alert","Labour prices",5.2,4.61
"Daynile","Alarm","Labour prices",4.6,0
"Dhusamareb IRC","Normal","Labour prices",10.34,8.63
"Dhusamareb IRC","Alert","Labour prices",8.62,7.77
"Dhusamareb IRC","Alarm","Labour prices",7.76,0
"Dhusamareb NRC","Normal","Labour prices",9.93,9.11
"Dhusamareb NRC","Alert","Labour prices",9.1,7.46
"Dhusamareb NRC","Alarm","Labour prices",7.45,0
"Dinsoor","Normal","Labour prices",4.17,5.01
"Dinsoor","Alert","Labour prices",5,8.34
"Dinsoor","Alarm","Labour prices",8.33,0
